Team,Win-Loss Record,Win %,MOV,ATS,Year
Indianapolis,4-12-0,25.0%,-8.8,-3.4,2017
Houston,4-12-0,25.0%,-6.1,-2.4,2017
NY Giants,3-13-0,18.8%,-8.9,-4.2,2017
Cleveland,0-16-0,0.0%,-11.0,-4.6,2017
LA Rams,15-4-0,79.0%,7.6,+0.7,2018
New Orleans,14-4-0,77.8%,8.6,+3.0,2018
New England,14-5-0,73.7%,7.4,+0.9,2018
Kansas City,13-5-0,72.2%,8.7,+4.0,2018
LA Chargers,13-5-0,72.2%,5.1,+1.1,2018
Chicago,12-5-0,70.6%,8.1,+4.9,2018
Houston,11-6-0,64.7%,4.2,+1.3,2018
Indianapolis,11-7-0,61.1%,4.7,+4.3,2018
Dallas,11-7-0,61.1%,0.5,+1.3,2018
Pittsburgh,9-6-1,60.0%,4.3,+1.3,2018
Seattle,10-7-0,58.8%,4.6,+4.2,2018
Baltimore,10-7-0,58.8%,5.6,+2.8,2018
Tennessee,9-7-0,56.3%,0.4,+1.1,2018
Philadelphia,10-8-0,55.6%,0.8,+0.1,2018
Minnesota,8-7-1,53.3%,1.2,-1.4,2018
Cleveland,7-8-1,46.7%,-2.1,+0.8,2018
Atlanta,7-9-0,43.8%,-0.6,-2.0,2018
Miami,7-9-0,43.8%,-7.1,-3.1,2018
Washington,7-9-0,43.8%,-4.9,-1.6,2018
Carolina,7-9-0,43.8%,-0.4,-0.2,2018
Green Bay,6-9-1,40.0%,-1.5,-4.0,2018
Detroit,6-10-0,37.5%,-2.3,+0.6,2018
Denver,6-10-0,37.5%,-1.3,0.0,2018
Buffalo,6-10-0,37.5%,-6.6,-0.2,2018
Cincinnati,6-10-0,37.5%,-5.4,-2.0,2018
Jacksonville,5-11-0,31.3%,-4.4,-4.5,2018
Tampa Bay,5-11-0,31.3%,-4.3,-0.9,2018
NY Giants,5-11-0,31.3%,-2.7,-0.3,2018
Las Vegas,4-12-0,25.0%,-11.1,-5.3,2018
NY Jets,4-12-0,25.0%,-6.8,-2.3,2018
San Francisco,4-12-0,25.0%,-5.8,-2.1,2018
Arizona,3-13-0,18.8%,-12.5,-5.3,2018
Baltimore,14-3-0,82.4%,13.7,+8.1,2019
San Francisco,15-4-0,79.0%,10.1,+6.1,2019
Kansas City,15-4-0,79.0%,9.7,+4.9,2019
Green Bay,14-4-0,77.8%,2.8,-0.3,2019
New Orleans,13-4-0,76.5%,6.5,+2.1,2019
New England,12-5-0,70.6%,11.1,+1.6,2019
Seattle,12-6-0,66.7%,0.6,-1.3,2019
Minnesota,11-7-0,61.1%,5.2,+2.7,2019
Houston,11-7-0,61.1%,-1.3,-1.0,2019
Buffalo,10-7-0,58.8%,3.1,+2.7,2019
Tennessee,11-8-0,57.9%,4.4,+4.9,2019
LA Rams,9-7-0,56.3%,1.9,-0.8,2019
Philadelphia,9-8-0,52.9%,1.4,-1.3,2019
Dallas,8-8-0,50.0%,7.1,+1.7,2019
Pittsburgh,8-8-0,50.0%,-0.9,-1.3,2019
Chicago,8-8-0,50.0%,-1.1,-2.6,2019
Atlanta,7-9-0,43.8%,-1.1,+1.1,2019
Las Vegas,7-9-0,43.8%,-6.6,-3.8,2019
Tampa Bay,7-9-0,43.8%,0.6,+1.4,2019
Denver,7-9-0,43.8%,-2.1,+0.5,2019
NY Jets,7-9-0,43.8%,-5.2,-0.3,2019
Indianapolis,7-9-0,43.8%,-0.8,-1.0,2019
Jacksonville,6-10-0,37.5%,-6.1,-3.9,2019
Cleveland,6-10-0,37.5%,-3.6,-4.3,2019
Arizona,5-10-1,33.3%,-5.1,+0.5,2019
LA Chargers,5-11-0,31.3%,-0.5,-2.0,2019
Miami,5-11-0,31.3%,-11.8,-1.3,2019
Carolina,5-11-0,31.3%,-8.1,-6.3,2019
NY Giants,4-12-0,25.0%,-6.9,-3.2,2019
Detroit,3-12-1,20.0%,-5.1,-1.1,2019
Washington,3-13-0,18.8%,-10.6,-3.2,2019
Cincinnati,2-14-0,12.5%,-8.8,-3.1,2019
Kansas City,16-3-0,84.2%,5.7,-1.2,2020
Buffalo,15-4-0,79.0%,6.8,+4.6,2020
Green Bay,14-4-0,77.8%,8.3,+3.3,2020
Tampa Bay,15-5-0,75.0%,9.1,+5.2,2020
New Orleans,13-5-0,72.2%,8.2,+2.9,2020
Seattle,12-5-0,70.6%,4.6,0.0,2020
Pittsburgh,12-5-0,70.6%,5.5,+1.0,2020
Cleveland,12-6-0,66.7%,-0.3,-1.5,2020
Baltimore,12-6-0,66.7%,8.8,+2.8,2020
Indianapolis,11-6-0,64.7%,5.1,+1.3,2020
Tennessee,11-6-0,64.7%,2.6,+0.4,2020
Miami,10-6-0,62.5%,4.1,+4.7,2020
LA Rams,11-7-0,61.1%,4.0,+1.4,2020
Las Vegas,8-8-0,50.0%,-2.8,-1.6,2020
Arizona,8-8-0,50.0%,2.7,+0.9,2020
Chicago,8-9-0,47.1%,-0.6,+2.1,2020
LA Chargers,7-9-0,43.8%,-2.6,-3.2,2020
New England,7-9-0,43.8%,-1.7,-1.6,2020
Minnesota,7-9-0,43.8%,-2.8,-2.9,2020
Washington,7-10-0,41.2%,-0.1,+3.5,2020
San Francisco,6-10-0,37.5%,-0.9,-1.0,2020
NY Giants,6-10-0,37.5%,-4.8,+0.4,2020
Dallas,6-10-0,37.5%,-4.9,-3.0,2020
Denver,5-11-0,31.3%,-7.7,-2.1,2020
Detroit,5-11-0,31.3%,-8.9,-5.7,2020
Carolina,5-11-0,31.3%,-3.3,+0.4,2020
Philadelphia,4-11-1,26.7%,-5.3,-3.6,2020
Cincinnati,4-11-1,26.7%,-7.1,-0.3,2020
Atlanta,4-12-0,25.0%,-1.1,+1.2,2020
Houston,4-12-0,25.0%,-5.0,-3.5,2020
NY Jets,2-14-0,12.5%,-13.4,-4.2,2020
Jacksonville,1-15-0,6.3%,-11.6,-4.0,2020
LA Rams,16-5-0,76.2%,5.7,+0.4,2021
Tampa Bay,14-5-0,73.7%,9.0,+0.6,2021
Green Bay,13-5-0,72.2%,4.2,+0.1,2021
Kansas City,14-6-0,70.0%,7.0,+0.7,2021
Dallas,12-6-0,66.7%,9.2,+5.0,2021
Tennessee,12-6-0,66.7%,3.4,+2.4,2021
Buffalo,12-7-0,63.2%,11.5,+4.1,2021
Cincinnati,13-8-0,61.9%,4.5,+4.5,2021
Arizona,11-7-0,61.1%,3.3,+0.3,2021
San Francisco,12-8-0,60.0%,3.4,+1.1,2021
New England,10-8-0,55.6%,7.2,+4.4,2021
Las Vegas,10-8-0,55.6%,-4.0,-1.8,2021
Miami,9-8-0,52.9%,-1.9,-0.4,2021
Pittsburgh,9-8-1,52.9%,-4.2,-2.3,2021
Indianapolis,9-8-0,52.9%,5.1,+3.2,2021
LA Chargers,9-8-0,52.9%,0.9,-1.4,2021
New Orleans,9-8-0,52.9%,1.7,+1.9,2021
Philadelphia,9-9-0,50.0%,2.4,+2.4,2021
Cleveland,8-9-0,47.1%,-1.3,-3.0,2021
Minnesota,8-9-0,47.1%,-0.1,-0.3,2021
Baltimore,8-9-0,47.1%,-0.3,-1.6,2021
Washington,7-10-0,41.2%,-5.8,-2.1,2021
Atlanta,7-10-0,41.2%,-8.6,-5.1,2021
Seattle,7-10-0,41.2%,1.7,+1.0,2021
Denver,7-10-0,41.2%,0.8,+0.4,2021
Chicago,6-11-0,35.3%,-5.6,-1.2,2021
Carolina,5-12-0,29.4%,-5.9,-3.4,2021
NY Jets,4-13-0,23.5%,-11.4,-4.1,2021
NY Giants,4-13-0,23.5%,-9.3,-2.9,2021
Houston,4-13-0,23.5%,-10.1,+0.1,2021
Detroit,3-13-1,18.8%,-8.4,-0.1,2021
Jacksonville,3-14-0,17.7%,-12.0,-5.5,2021
Kansas City,17-3-0,85.0%,7.0,+0.6,2022
Philadelphia,16-4-0,80.0%,9.3,+2.7,2022
Buffalo,14-4-0,77.8%,8.6,+1.0,2022
San Francisco,15-5-0,75.0%,8.7,+3.5,2022
Cincinnati,14-5-0,73.7%,6.2,+2.8,2022
Minnesota,13-5-0,72.2%,-0.6,-2.6,2022
Dallas,13-6-0,68.4%,7.1,+3.5,2022
LA Chargers,10-8-0,55.6%,0.3,-0.6,2022
NY Giants,10-8-1,55.6%,-1.6,+1.8,2022
Baltimore,10-8-0,55.6%,1.6,-0.2,2022
Pittsburgh,9-8-0,52.9%,-2.2,+0.9,2022
Detroit,9-8-0,52.9%,1.5,+3.9,2022
Jacksonville,10-9-0,52.6%,2.5,+4.5,2022
Seattle,9-9-0,50.0%,-0.7,+1.3,2022
Miami,9-9-0,50.0%,-0.3,-0.6,2022
Washington,8-8-1,50.0%,-1.3,+0.2,2022
New England,8-9-0,47.1%,1.0,+1.4,2022
Green Bay,8-9-0,47.1%,-0.1,-2.4,2022
Tampa Bay,8-10-0,44.4%,-3.4,-6.2,2022
New Orleans,7-10-0,41.2%,-0.9,-0.3,2022
Atlanta,7-10-0,41.2%,-1.2,+0.9,2022
NY Jets,7-10-0,41.2%,-1.2,+1.8,2022
Cleveland,7-10-0,41.2%,-1.2,-0.8,2022
Tennessee,7-10-0,41.2%,-3.6,-1.1,2022
Carolina,7-10-0,41.2%,-1.6,+2.2,2022
Las Vegas,6-11-0,35.3%,-1.4,-1.2,2022
Denver,5-12-0,29.4%,-4.2,-3.7,2022
LA Rams,5-12-0,29.4%,-4.5,-3.0,2022
Indianapolis,4-12-1,25.0%,-8.1,-6.6,2022
Arizona,4-13-0,23.5%,-6.4,-2.5,2022
Houston,3-13-1,18.8%,-7.7,-0.4,2022
Chicago,3-14-0,17.7%,-8.1,-3.0,2022
Philadelphia,3-0-0,100.0%,8.3,+3.3,2023
San Francisco,3-0-0,100.0%,16.0,+9.7,2023
Miami,3-0-0,100.0%,19.7,+18.2,2023
Cleveland,2-1-0,66.7%,13.7,+11.8,2023
Washington,2-1-0,66.7%,-9.3,-8.7,2023
Pittsburgh,2-1-0,66.7%,-4.7,-2.7,2023
Dallas,2-1-0,66.7%,16.0,+8.7,2023
Green Bay,2-1-0,66.7%,6.0,+7.8,2023
Baltimore,2-1-0,66.7%,5.3,+0.7,2023
Tampa Bay,2-1-0,66.7%,-0.3,+2.0,2023
Detroit,2-1-0,66.7%,3.0,+1.8,2023
Indianapolis,2-1-0,66.7%,1.3,+5.3,2023
Atlanta,2-1-0,66.7%,0.3,-0.8,2023
Seattle,2-1-0,66.7%,-0.3,-1.8,2023
Kansas City,2-1-0,66.7%,12.7,+6.2,2023
Buffalo,2-1-0,66.7%,18.7,+13.7,2023
New Orleans,2-1-0,66.7%,1.0,-1.5,2023
New England,1-2-0,33.3%,-2.3,-1.5,2023
Jacksonville,1-2-0,33.3%,-6.0,-8.7,2023
NY Giants,1-2-0,33.3%,-18.3,-15.5,2023
Tennessee,1-2-0,33.3%,-7.3,-4.3,2023
Houston,1-2-0,33.3%,-2.3,+3.0,2023
Las Vegas,1-2-0,33.3%,-10.7,-8.2,2023
LA Chargers,1-2-0,33.3%,-0.3,-2.2,2023
LA Rams,1-2-0,33.3%,2.3,+7.3,2023
NY Jets,1-2-0,33.3%,-6.3,-2.0,2023
Arizona,1-2-0,33.3%,1.7,+9.3,2023
Cincinnati,1-2-0,33.3%,-7.0,-9.0,2023
Minnesota,0-3-0,0.0%,-4.3,-3.7,2023
Chicago,0-3-0,0.0%,-19.7,-15.0,2023
Denver,0-3-0,0.0%,-17.7,-18.0,2023
Carolina,0-3-0,0.0%,-9.0,-5.3,2023
